Marca,Modelo,Año,Versión,Color,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Combustible,Modelo_normalizado
Peugeot,308,2014,1.6 Allure Thp 163cv Tiptronic,Dorado,5,Automática,1.6,Monovolumen,78.000 km,11800,Nafta,308
Peugeot,Partner,2018,Patagónica 1.6 Hdi Vtc Plus 92,Negro,5,Manual,1.6,Monovolumen,70.000 km,18000000,Diésel,Partner
Peugeot,Partner,2017,Con Equipo De Frio,Gris,5,Manual,1.4,Light Truck,115.000 km,9990,Nafta,Partner
Peugeot,408,2017,2017 1.6 Allure Plus Thp 165cv,,4,Manual,1.6,Sedán,120.000 km,11500,Nafta,408
Peugeot,207,2012,Compact Xt Premium 1.6 El Mas Full Muy Cuidado,Plateado,3,Manual,1.6,Compacto,189.000 km,7500,Nafta,207
Peugeot,Partner,2024,1.6 Vti Confort,Gris,5,Manual,1.6,Monovolumen,22.600 km,23500000,Nafta,Partner
Peugeot,2008,2017,1.6 Feline,,5,Manual,1.6,SUV,80.000 km,16800000,Nafta,2008
Peugeot,208,2023,1.6 Allure Pack,Gris,5,Manual,1.6,Compacto,62.500 km,22805100,Nafta,208
Peugeot,Partner,2014,Patagónica 1.6 Hdi Vtc Plus,Gris,5,Manual,1.6,Monovolumen,178.000 km,16000000,Diésel,Partner
Peugeot,208,2016,Gt 1.6 Thp,Plateado,5,Manual,1.6,Compacto,48.000 km,15000,Nafta,208
Peugeot,Partner,2024,1.6 Vti Confort,,5,Manual,1.6,Monovolumen,19.000 km,23200000,Nafta,Partner
Peugeot,308,2012,1.6 Allure Nav Hdi 115cv,,5,Manual,1.6,Compacto,164.000 km,13000000,Diésel,308
Peugeot,2008,2018,1.6 Allure,,5,Manual,1.6,SUV,73.000 km,14000,Nafta,2008
Peugeot,308,2017,1.6 Feline Thp 163cv Tiptronic,,5,Automática,1.6,Compacto,85.000 km,16000,Nafta,308
Peugeot,208,2023,1.6l Feline Tiptronic,,5,Automática,1.6,Compacto,16.800 km,23000,Nafta,208
Peugeot,207,2010,1.4 Xr,Negro,4,Manual,1.4,Compacto,132.000 km,7300,Nafta,207
Peugeot,208,2024,1.6 Feline Tiptronic,Gris,5,Automática,1.6,Compacto,8.000 km,24500,Nafta,208
Peugeot,208,2023,1.6 Style,Negro,5,Manual,1.6,Compacto,31.000 km,19000,Nafta,208
Peugeot,208,2014,1.6 Allure,,5,Manual,1.6,Compacto,99.000 km,12800000,Nafta,208
Peugeot,206,2008,"Xs Premium , El Más Full De Todos",Gris,5,Manual,1.6,Rural,175.000 km,7500000,Nafta,206
Peugeot,2008,2024,1.0t Gt,Negro,5,Automática,1.0,SUV,2.100 km,39500000,Nafta,2008
Peugeot,208,2017,1.6 Allure,Plateado,5,Manual,1.6,Compacto,52.000 km,16800000,Nafta,208
Peugeot,307,2007,2.0 Hdi Xt Premium 110cv,Azul,5,Manual,2.0,Compacto,185.000 km,9000,Diésel,307
Peugeot,208,2018,1.6 Feline Tiptronic,,5,Automática,1.6,Compacto,48.000 km,18300000,Nafta,208
Peugeot,207,2011,1.6 Xt 3 P,Plateado,3,Manual,1.6,Compacto,76.000 km,9800000,Nafta,207
Peugeot,207,2011,1.4 Allure Hdi 70cv,Gris,5,Manual,1.4,Compacto,150.000 km,7700,Diésel,207
Peugeot,2008,2019,1.6 Feline,,5,Manual,1.6,SUV,79.665 km,18000,Nafta,2008
Peugeot,207,2011,1.6 Xt,Negro,5,Manual,1.6,Compacto,132.000 km,9500000,Nafta,207
Peugeot,308,2017,1.6 Feline Thp 163cv,,5,Manual,1.6,Compacto,83.000 km,15300,Nafta,308
Peugeot,208,2023,1.6l Active Pack Tiptronic,Azul,5,Automática,1.6,Compacto,5.800 km,23000000,Nafta,208
